,City,Lat,Lon,Temp,Max Temp,Cloudiness,Wind Speed,Country,Date,Humidity
0,Codrington,-38.2667,141.9667,54.45,54.45,100,4.43,AU,1619384808,81
1,Saint-Philippe,-21.3585,55.7679,72.09,78.8,20,23.02,RE,1619384809,69
2,Tasiilaq,65.6145,-37.6368,37.4,37.4,75,19.57,GL,1619384794,81
3,Hermanus,-34.4187,19.2345,62.01,62.01,100,4.0,ZA,1619384809,88
4,Mataura,-46.1927,168.8643,46.0,46.0,66,13.0,NZ,1619384810,80
5,Punta Arenas,-53.15,-70.9167,55.2,55.4,75,16.11,CL,1619384747,67
6,Busselton,-33.65,115.3333,51.62,52.0,100,4.85,AU,1619384810,98
7,Biltine,14.5333,20.9167,89.15,89.15,99,4.94,TD,1619384811,24
8,Ushuaia,-54.8,-68.3,51.8,51.8,40,14.97,AR,1619384706,66
9,Rikitea,-23.1203,-134.9692,78.04,78.04,100,8.01,PF,1619384811,74
10,Banjar,-8.19,114.9675,77.0,77.0,20,3.44,ID,1619384812,88
11,Port Alfred,-33.5906,26.891,70.5,70.5,100,13.09,ZA,1619384812,62
12,Dunga Bunga,29.7493,73.2432,83.71,83.71,0,1.81,PK,1619384813,15
13,Bredasdorp,-34.5322,20.0403,53.6,53.6,100,1.74,ZA,1619384813,94
14,General Pico,-35.6566,-63.7568,59.72,59.72,0,4.07,AR,1619384813,60
15,Vaini,-21.2,-175.2,75.2,75.2,75,5.75,TO,1619384814,100
16,Vilcún,-38.65,-72.2333,64.4,64.4,0,8.05,CL,1619384814,72
17,City of San Pedro,14.35,121.0167,80.19,80.6,20,2.3,PH,1619384814,78
18,Port Elizabeth,-33.918,25.5701,59.0,59.0,40,2.3,ZA,1619384815,88
19,Puerto Ayora,-0.7393,-90.3518,82.4,82.4,20,13.8,EC,1619384815,74
20,Amga,60.8953,131.9608,30.94,30.94,100,2.93,RU,1619384816,98
21,Khatanga,71.9667,102.5,3.81,3.81,85,13.18,RU,1619384816,90
22,Nishihara,26.1842,127.7558,62.28,66.2,20,3.44,JP,1619384583,88
23,São Félix do Xingu,-6.6447,-51.995,76.1,76.1,20,3.42,BR,1619384817,93
24,Kulhudhuffushi,6.6221,73.07,83.64,83.64,13,5.79,MV,1619384817,72
25,San Quintín,30.4833,-115.95,64.11,64.11,42,18.01,MX,1619384817,63
26,Avarua,-21.2078,-159.775,80.6,80.6,75,10.36,CK,1619384818,83
27,Kenai,60.5544,-151.2583,52.54,53.6,1,6.91,US,1619384818,37
28,Okitipupa,6.5047,4.7839,77.77,77.77,86,2.57,NG,1619384819,90
29,Qaanaaq,77.484,-69.3632,30.96,30.96,21,4.85,GL,1619384819,75
30,Grindavik,63.8424,-22.4338,42.8,42.8,20,18.41,IS,1619384819,87
31,Saint Paul Harbor,57.79,-152.4072,42.8,42.8,90,9.22,US,1619384820,75
32,Chimoré,-16.9833,-65.1333,68.92,68.92,100,2.51,BO,1619384820,94
33,Faya,18.3851,42.4509,60.71,62.6,40,10.45,SA,1619384821,72
34,Atuona,-9.8,-139.0333,79.86,79.86,47,14.85,PF,1619384576,73
35,Bereda,43.2686,-7.5406,53.96,55.99,100,1.99,ES,1619384821,100
36,Hilo,19.7297,-155.09,74.39,78.8,90,9.22,US,1619384662,65
37,Yellowknife,62.456,-114.3525,10.42,12.0,90,10.36,CA,1619384822,66
38,Hong Kong,22.2855,114.1577,70.84,73.0,100,20.0,HK,1619384748,85
39,Tuktoyaktuk,69.4541,-133.0374,12.2,12.2,90,10.36,CA,1619384822,85
40,Albany,42.6001,-73.9662,56.34,57.99,88,3.0,US,1619384718,46
41,Ayr,55.4627,-4.6339,44.98,46.4,0,2.3,GB,1619384823,81
42,Inuvik,68.3499,-133.7218,18.48,19.4,100,6.91,CA,1619384557,73
